[run number],slow-burning-trees,density,wind-intensity,moore?,wind?,active-wind,tenacity,q,road?,[step],(burned-trees / initial-trees) * 100
9,0,25,1,TRUE,TRUE,100,1,87,FALSE,32,1.89469614
4,0,25,1,TRUE,TRUE,100,1,87,FALSE,25,1.685537828
3,0,25,1,TRUE,TRUE,100,1,87,FALSE,27,1.936305732
5,0,25,1,TRUE,TRUE,100,1,87,FALSE,33,1.887030609
6,0,25,1,TRUE,TRUE,100,1,87,FALSE,23,1.286788126
8,0,25,1,TRUE,TRUE,100,1,87,FALSE,25,1.219823732
7,0,25,1,TRUE,TRUE,100,1,87,FALSE,22,1.4872024
2,0,25,1,TRUE,TRUE,100,1,87,FALSE,27,1.659856997
10,0,25,1,TRUE,TRUE,100,1,87,FALSE,27,1.450658523
1,0,25,1,TRUE,TRUE,100,1,87,FALSE,34,1.908734673
13,0,25,2,TRUE,TRUE,100,1,87,FALSE,43,6.088124321
11,0,25,2,TRUE,TRUE,100,1,87,FALSE,115,14.97234408
12,0,25,2,TRUE,TRUE,100,1,87,FALSE,87,11.97138112
15,0,25,2,TRUE,TRUE,100,1,87,FALSE,66,10.17185617
14,0,25,2,TRUE,TRUE,100,1,87,FALSE,55,11.48093935
17,0,25,2,TRUE,TRUE,100,1,87,FALSE,66,7.564267352
18,0,25,2,TRUE,TRUE,100,1,87,FALSE,72,8.140355379
16,0,25,2,TRUE,TRUE,100,1,87,FALSE,132,14.768728
19,0,25,2,TRUE,TRUE,100,1,87,FALSE,70,10.53034654
20,0,25,2,TRUE,TRUE,100,1,87,FALSE,58,9.449920509
31,0,30,1,TRUE,TRUE,100,1,87,FALSE,26,1.736682777
32,0,30,1,TRUE,TRUE,100,1,87,FALSE,28,1.932469739
33,0,30,1,TRUE,TRUE,100,1,87,FALSE,32,2.342675833
35,0,30,1,TRUE,TRUE,100,1,87,FALSE,37,2.409186028
34,0,30,1,TRUE,TRUE,100,1,87,FALSE,27,2.35908803
37,0,30,1,TRUE,TRUE,100,1,87,FALSE,27,2.051009564
36,0,30,1,TRUE,TRUE,100,1,87,FALSE,34,2.525789642
21,0,25,3,TRUE,TRUE,100,1,87,FALSE,117,80.94841397
39,0,30,1,TRUE,TRUE,100,1,87,FALSE,35,2.598864002
24,0,25,3,TRUE,TRUE,100,1,87,FALSE,121,87.61549171
40,0,30,1,TRUE,TRUE,100,1,87,FALSE,24,2.097275649
27,0,25,3,TRUE,TRUE,100,1,87,FALSE,118,83.14061202
30,0,25,3,TRUE,TRUE,100,1,87,FALSE,115,85.96145283
38,0,30,1,TRUE,TRUE,100,1,87,FALSE,32,2.316622974
26,0,25,3,TRUE,TRUE,100,1,87,FALSE,120,78.43502861
28,0,25,3,TRUE,TRUE,100,1,87,FALSE,122,82.60428553
25,0,25,3,TRUE,TRUE,100,1,87,FALSE,120,84.56907478
23,0,25,3,TRUE,TRUE,100,1,87,FALSE,118,84.39272821
29,0,25,3,TRUE,TRUE,100,1,87,FALSE,121,82.82616965
22,0,25,3,TRUE,TRUE,100,1,87,FALSE,124,86.15326252
43,0,30,2,TRUE,TRUE,100,1,87,FALSE,189,58.62529374
45,0,30,2,TRUE,TRUE,100,1,87,FALSE,195,65.73147359
44,0,30,2,TRUE,TRUE,100,1,87,FALSE,188,67.93199937
47,0,30,2,TRUE,TRUE,100,1,87,FALSE,170,66.58793215
41,0,30,2,TRUE,TRUE,100,1,87,FALSE,182,75.39728631
42,0,30,2,TRUE,TRUE,100,1,87,FALSE,187,63.52013637
49,0,30,2,TRUE,TRUE,100,1,87,FALSE,186,66.61692603
48,0,30,2,TRUE,TRUE,100,1,87,FALSE,180,71.74258475
50,0,30,2,TRUE,TRUE,100,1,87,FALSE,177,68.15801999
46,0,30,2,TRUE,TRUE,100,1,87,FALSE,177,74.58441079
51,0,30,3,TRUE,TRUE,100,1,87,FALSE,118,96.4332893
54,0,30,3,TRUE,TRUE,100,1,87,FALSE,111,97.72607086
53,0,30,3,TRUE,TRUE,100,1,87,FALSE,111,97.69093204
55,0,30,3,TRUE,TRUE,100,1,87,FALSE,109,96.82582022
56,0,30,3,TRUE,TRUE,100,1,87,FALSE,113,97.2110712
52,0,30,3,TRUE,TRUE,100,1,87,FALSE,108,97.61375661
57,0,30,3,TRUE,TRUE,100,1,87,FALSE,110,97.80879642
58,0,30,3,TRUE,TRUE,100,1,87,FALSE,109,97.37453777
60,0,30,3,TRUE,TRUE,100,1,87,FALSE,111,97.2709964
59,0,30,3,TRUE,TRUE,100,1,87,FALSE,108,97.51087995
