q,(burned-trees / initial-trees) * 100
80,2.366835029
80,3.957777179
80,4.174683976
80,4.213910568
80,5.534168649
81,3.023439039
81,4.270636922
81,6.640701548
81,7.110794967
81,6.103090762
82,5.804542898
82,4.185739113
82,3.534318747
82,4.739499093
82,4.371023005
83,4.237495714
83,3.780695057
83,4.12613053
83,5.289248126
83,4.072919989
84,5.482746773
84,5.105296745
84,6.459865686
84,8.291106705
84,5.985615019
85,7.353805466
85,7.408131831
85,9.721509083
85,16.17047408
85,13.67344933
86,5.41278312
86,9.715193742
86,9.087802378
86,8.728136789
86,10.74072258
87,6.401960784
87,13.26573203
87,11.29980885
87,18.01962752
87,25.40795388
88,16.97803678
88,15.63696143
88,21.82416778
88,17.67678006
88,14.36097226
89,11.10295377
89,14.48133697
89,14.5400883
89,37.46205816
89,61.17848411
90,11.35206904
90,31.33636029
90,63.51304945
90,56.46074329
90,54.1541861
91,20.16030198
91,30.3801499
91,52.53474261
91,76.08231221
91,73.69748928
92,23.83984992
92,65.66559438
92,85.40939171
92,75.1126457
92,77.50153092
93,84.17063929
93,82.57310518
93,84.01582932
93,82.5282908
93,84.45480736
94,89.54007755
94,86.73738756
94,80.969163
94,88.16683781
94,83.44781905
95,88.81276304
95,86.47700027
95,88.46135017
95,87.79181679
95,88.17124657
96,88.114007
96,89.17819365
96,92.42928453
96,90.51390225
96,92.37659382
97,90.98221533
97,94.68615482
97,94.26725088
97,91.86123429
97,93.80983863
98,93.84762747
98,93.70775985
98,92.91052114
98,92.4999385
98,94.32544248
99,92.23077494
99,95.45342896
99,95.61416361
99,94.99399377
99,95.04030974
100,93.20138327
100,93.6388711
100,96.28817236
100,95.10668355
100,94.55828835
